step,from_pos,to_pos,action,action_name,reward,status,path_length,min_obstacle_distance,goal_distance
1,"[4, 8]","[5, 8]",2,down,-0.23,running,1,3.0,13
2,"[5, 8]","[6, 8]",2,down,-0.22,running,2,3.0,12
3,"[6, 8]","[7, 8]",2,down,-0.21000000000000002,running,3,2.0,11
4,"[7, 8]","[7, 7]",3,left,-0.2,running,4,2.0,10
5,"[7, 7]","[8, 7]",2,down,-0.19,running,5,2.0,9
6,"[8, 7]","[8, 6]",3,left,-0.18,running,6,2.0,8
7,"[8, 6]","[9, 6]",2,down,-0.17,running,7,2.0,7
8,"[9, 6]","[9, 5]",3,left,-0.16,running,8,2.0,6
9,"[9, 5]","[10, 5]",2,down,-0.15000000000000002,running,9,2.0,5
10,"[10, 5]","[10, 4]",3,left,-0.14,running,10,2.0,4
11,"[10, 4]","[10, 3]",3,left,-0.13,running,11,2.0,3
12,"[10, 3]","[10, 2]",3,left,-0.12000000000000001,running,12,2.0,2
13,"[10, 2]","[11, 2]",2,down,-0.11,running,13,2.0,1
14,"[11, 2]","[11, 1]",3,left,9.9,success,14,2.0,0
